Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	19.424686279296875	9.35922679875243	1.2763260673991899	-5.065054764590848	100.0	5	4.663719451538295		727 days 06:00:00	4.6386282912566745	10 days 23:00:00	5 days 05:00:00
META	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	40.797214050292936	18.820508601437602	2.635266815256019	-2.9693223456718654	100.0	14	2.963303637888215		727 days 06:00:00	2.941738660902349	4 days 05:00:00	1 days 23:00:00
AAPL	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	10.25760498046875	5.044643490618017	1.8965144744175726	-1.5241569098850438	100.0	2	10.425412636061203		727 days 06:00:00	10.425412636061203	10 days 02:00:00	10 days 02:00:00
AMZN	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	13.031210479736274	6.368242320547002	1.877680789140685	-1.135414789348388	100.0	5	3.1497132454366863		727 days 06:00:00	3.144646473606927	2 days 01:00:00	1 days 13:00:00
NFLX	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	19.3499700927734	9.324738326572879	0.9186039041525401	-9.217203079897896	90.9090909090909	12	1.7034559384458021	13.078167431409902	727 days 06:00:00	1.6911911853856987	9 days 04:00:00	3 days 08:00:00
MRNA	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	-6.969598388671856	-3.57559948191728	-0.5376264508931047	-14.863691098237942	0.0	2	-6.976742779378009	0.0	727 days 06:00:00	-6.976742779378009	7 days 20:00:00	7 days 20:00:00
TSLA	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	68.30086288452148	30.001246553910654	1.9113254146047802	-5.379092998513424	85.71428571428571	8	7.933865603947635	27.2432274412119	727 days 06:00:00	7.804013422363343	7 days 02:00:00	3 days 11:00:00
TNA	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
GLD	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
SLV	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
USO	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
BAC	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
CVX	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
XOM	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		1			727 days 06:00:00			
QQQ	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	19.502990722656268	9.39536010169386	1.0601729187685736	-5.498258672106527	100.0	5	6.415212302537261		727 days 06:00:00	6.379784095777374	9 days 00:00:00	4 days 09:00:00
MSFT	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	17.32350128173828	8.38521604573117	1.8459357561210097	-2.070714130763851	100.0	8	2.371290062469183		727 days 06:00:00	2.363173299831134	5 days 05:00:00	2 days 01:00:00
NVDA	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	47.613997344970706	21.685906195686535	2.0113359265232877	-3.0895499700224094	100.0	7	6.763408670585462		727 days 06:00:00	6.730717967406252	9 days 02:00:00	3 days 16:00:00
WMT	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
BA	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		1			727 days 06:00:00			
DIS	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
CAT	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	42.94917846679691	19.732364341933597	1.8805394858555107	-4.889955528322898	100.0	8	5.395854017187819		727 days 06:00:00	5.336551609977636	9 days 22:00:00	4 days 21:00:00
IBM	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	7.755850067138617	3.836536123020995	0.8652776315934141	-1.6891597026551186	100.0	3	3.8649549678909323		727 days 06:00:00	3.864222825132302	4 days 18:00:00	2 days 18:00:00
WFC	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
PLTR	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		1			727 days 06:00:00			
AMD	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	1.90399658203125	0.955125581239491	0.9129015776002326	-0.04514623532245743	100.0	2	1.9174338800176605		727 days 06:00:00	1.9174338800176605	0 days 21:00:00	0 days 21:00:00
AVGO	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	26.51138961791994	12.583133357398424	1.7312171362216462	-2.799548058553325	100.0	4	8.313263797567693		727 days 06:00:00	8.220800409344342	3 days 22:00:00	2 days 09:00:00
HOOD	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		1			727 days 06:00:00			
CRWV	2025-03-28 16:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			82 days 03:00:00			
MSTR	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	334.91408935546883	109.77578382197954	1.7260676261024253	-5.685709819783213	100.0	15	13.7380430790948		727 days 06:00:00	13.282463192848182	11 days 03:00:00	3 days 04:00:00
UNH	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	12.210386047363318	5.9782296661036405	1.1943248376120486	-3.7421253103365193	100.0	11	1.4893465013152611		727 days 06:00:00	1.4860640222259969	11 days 19:00:00	3 days 07:00:00
GOOG	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
APP	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	11.801046142578107	5.783204046102242	0.4402988628690401	-17.98331484210355	66.66666666666666	6	6.308738526726958	9.719178002510812	727 days 06:00:00	6.133503950503938	6 days 02:00:00	3 days 19:00:00
UBER	2023-06-22 13:30:00+00:00	2025-06-18 19:30:00+00:00	0.0	0.0		-0.0		0			727 days 06:00:00			
